Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
USD Fiyat Listesi;Public IPv6 Yönlendirme Hizmeti (Only /48 Blok);Adet;44.64
USD Fiyat Listesi;SAP Intel HANA CPU;vCPU;6.47
USD Fiyat Listesi;SAP Intel HANA RAM;GB;1.89
USD Fiyat Listesi;SAP Intel HANA Storage - Nvme;GB;0.19
USD Fiyat Listesi;SAP Intel HANA Storage - SSD;GB;0.1
USD Fiyat Listesi;SAP Intel HANA Storage - SSD Hybrid;GB;0.1
USD Fiyat Listesi;SAP Power HANA CPU;Core;144.01
USD Fiyat Listesi;SAP Power HANA RAM;GB;3.6
USD Fiyat Listesi;SAP Power HANA Storage - NVMe;GB;0.05
USD Fiyat Listesi;SAP Power HANA Storage - SSD;GB;0.1
USD Fiyat Listesi;SAP Power HANA Storage - SSD Hybrid;GB;0.1
USD Fiyat Listesi;Sophos Load Balancer - HTTP/S;Adet;9.68
USD Fiyat Listesi;Sophos Load Balancer;Adet;8.62
USD Fiyat Listesi;Sophos SSL VPN;per User;0.03
USD Fiyat Listesi;Sophos UTM Firewall ve Yönetim Hizmeti;Adet;11.73
USD Fiyat Listesi;Sophos UTM Sanal Dedike Firewall ve Yönetim Hizmeti;Adet;11.73
USD Fiyat Listesi;Sophos UTM Sanal Dedike Firewall ve Yönetim Hizmeti - Per VM;Adet;11.73
USD Fiyat Listesi;Sophos WAF;Adet;5.28
USD Fiyat Listesi;Standart DDoS Hizmeti (L3);Mbit;2.52
USD Fiyat Listesi;Standart Intel Linux İşletim Sistemi Yönetim Hizmeti;per VM;24.1
USD Fiyat Listesi;Standart Monitoring Hizmeti;per VM;11.64
USD Fiyat Listesi;Standart Windows İşletim Sistemi Yönetim Hizmeti;per VM;24.1
USD Fiyat Listesi;SUSE for SAP HANA on Intel Yönetim Hizmeti;per VM;55.08
USD Fiyat Listesi;SUSE for SAP HANA on Power Yönetim Hizmeti;per VM;55.08
USD Fiyat Listesi;Uygulama Yedekleme Hizmeti (Veritas NetBackup);GB;0.04
USD Fiyat Listesi;Veeam Cloud Connect Backup Lisansı (Customer Does Not Have Veeam);per VM;9.11
USD Fiyat Listesi;Veeam Cloud Connect Backup Lisansı (Customer Has Veeam);per VM;5.06
USD Fiyat Listesi;Klasik Mimari Veeam Replication Disk - NVMe;GB;0.16
USD Fiyat Listesi;Veeam Cloud Connect Replication Lisansı (Customer does not have Veeam);per VM;19.24
USD Fiyat Listesi;Veeam Cloud Connect Replication Lisansı (Customer Has Veeam);per VM;10.13
USD Fiyat Listesi;Klasik Mimari Veeam Replication RAM;GB;0.58
USD Fiyat Listesi;Klasik Mimari Veeam Replication vCpu;vCPU;1.98
USD Fiyat Listesi;Veeam Replikasyon Yönetim Hizmeti;Adet;20.66
USD Fiyat Listesi;Veri Merkezi Erişim Hizmeti;Mbit;5.05
USD Fiyat Listesi;Hyperconverged Mimari Veeam Replication Disk - SSD;GB;0.04
USD Fiyat Listesi;Hyperconverged Mimari Veeam Replication Disk - SSD Hybrid;GB;0.04
USD Fiyat Listesi;Hyperconverged Mimari Veeam Replication RAM;GB;1.15
USD Fiyat Listesi;Hyperconverged Mimari Veeam Replication vCpu;vCPU;1.64
USD Fiyat Listesi;Zerto Replikasyon Yönetim Hizmeti;Adet;20.66
Euro Fiyat Listesi;Veeam Backup & Replication Standard Lisansı;per VM;4.2
Euro Fiyat Listesi;CSP - Exchange Online (Plan 1);per User;3.86
Euro Fiyat Listesi;CSP - Exchange Online (Plan 2);per User;7.72
Euro Fiyat Listesi;CSP - Exchange Online Kiosk;per User;1.93
Euro Fiyat Listesi;SPLA - MS Project Professional Lisans(Project Professional ALng LSA SAL w/1 Project Server SAL);Adet;32.72
Euro Fiyat Listesi;SPLA - Microsoft Project Standard Lisans (Project Standard ALng LSA SAL);Adet;19.48
Euro Fiyat Listesi;SPLA - MS SQL Server Enterprise Edition 2 Core Lisans (SQL Server Enterprise Core ALng LSA 2L);Adet;592.77
Euro Fiyat Listesi;SPLA - MS SQL Server Standart Edition 2 Core Lisans (SQL Server Standard Core ALng LSA 2L);Adet;157.44
Euro Fiyat Listesi;SPLA - MS SQL Server Web Edition 2 Core Lisans (SQL Server Web ALng LSA 2L Core);Adet;9.84
Euro Fiyat Listesi;SPLA - MS Windows Server Datacenter Editon 2 Core Lisans (Win Server DC Core ALng LSA 2L);Adet;36.81
Euro Fiyat Listesi;SPLA - MS Windows Server Standard Editon 2 Core Lisans (Win Server Standard Core ALng LSA 2L);Adet;5.3
Euro Fiyat Listesi;SPLA - RDP Kullanıcı Lisans - RDS User CAL (Win Remote Desktop Services SAL ALng LSA SAL);Adet;6.96
Euro Fiyat Listesi;SPLA -Exchange Enterprise SAL (Exchange Enterprise SAL ALng LSA SAL);Adet;3.69
Euro Fiyat Listesi;SPLA -Exchange Standard SAL (Exchange Standard SAL ALng LSA SAL);Adet;2.28
Euro Fiyat Listesi;CSP - Microsoft 365 Apps for Business;per User;8.01
Euro Fiyat Listesi;CSP - Microsoft 365 Apps for Enterprise;per User;11.58
Euro Fiyat Listesi;CSP - Microsoft 365 Business Basic;per User;5.79
Euro Fiyat Listesi;CSP-Microsoft 365 Business Premium;per User;21.22
